PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/AIMETON/AIMETON_site_auditor/pull/684,fix(mcp): allow Better DeepSeek Chrome extension origin,2026-08-15T08:54:09Z,2026-08-15T08:57:52Z,0,False,Python
https://github.com/AmyLFrederick/latent-review/pull/199,"The cover says ""conversation"" once, and the dek that repeated it is gone",2026-09-02T17:12:49Z,2026-09-02T17:15:48Z,0,False,JavaScript
https://github.com/AIMETON/AIMETON_site_auditor/pull/681,fix(mcp): allow Better DeepSeek browser client on public MCP,2026-08-15T08:40:17Z,2026-08-15T08:42:58Z,0,False,Python
https://github.com/aandrew-me/tgpt/pull/487,Add deepseek-web provider,2026-08-18T10:56:30Z,2026-08-18T13:33:27Z,3255,False,Go
https://github.com/awesome-dsh-plugin/awesome-dsh-plugin/pull/805,Add wqx-txdsyl/dsh-ds-attach: DeepSeek Chat same-style attachments,2026-08-16T01:57:27Z,2026-08-16T09:09:16Z,14788,False,Python
https://github.com/AOSC-Dev/chromium-loongarch64/pull/9,chromium: rebase LoongArch64 support to 148.0.7778.280,2026-08-20T16:52:19Z,2026-08-29T13:50:35Z,18,False,Python
https://github.com/Nagi-ovo/voyager/pull/981,feat(plugins): add DeepSeek platform adapter,2026-09-07T04:35:45Z,2026-09-07T15:06:51Z,19985,False,TypeScript
https://github.com/diaoyunxi/OpenAI-Proxy-via-Browser/pull/1,fix(extension): 修复多轮对话第二轮回复混入旧回复与模式徽标,2026-09-05T06:30:55Z,2026-09-05T07:10:40Z,0,False,JavaScript
https://github.com/Fly143/deepseek-free-api/pull/28,feat: 批量注册账号 + 自动登录 + 多账号轮询（mail.cx 临时邮箱）,2026-08-26T12:26:13Z,2026-08-26T14:21:54Z,269,False,Python
https://github.com/awesome-dsh-plugin/awesome-dsh-plugin/pull/1593,Add wpc0323/deepseek-web-import (DeepSeek web conversation importer),2026-08-18T05:30:38Z,2026-08-18T07:53:25Z,14788,False,Python
https://github.com/AOSC-Dev/aosc-os-abbs/pull/17259,chromium: backport LoongArch64 fixes for V8 and fix crashpad LoongArch64 signal context parsing,2026-08-20T16:20:15Z,2026-08-25T02:05:57Z,193,False,Shell
https://github.com/TecFancy/dsh-auth-gate/pull/14,feat(login-page): redesign login page with modern card UI,2026-08-15T12:21:18Z,2026-08-15T12:22:54Z,10,False,TypeScript
https://github.com/davidrunger/dotfiles/pull/1311,"[zshrc] Fix Ruby native extension issues related to gcc, ld, gmp",2026-07-31T17:43:33Z,2026-07-31T17:44:16Z,0,False,Shell
https://github.com/AOSC-Dev/wiki/pull/113,Add system requirements page content for AOSC OS,2026-07-23T12:42:53Z,2026-07-24T12:09:23Z,15,False,HTML
https://github.com/YuemingHub/World-Space/pull/4,World Space — continuous convergence macro 3,2026-09-07T12:57:37Z,2026-09-07T13:27:13Z,0,False,HTML
https://github.com/la4ox/liska-threadkeeper/pull/1,feat: add complete DeepSeek conversation export,2026-08-12T07:15:33Z,2026-08-12T11:24:21Z,1,True,TypeScript
https://github.com/timerloggedout-spec/termux-monorepo/pull/215,"hotfix: DeepSeek CI — kill soft-skip, hard-fail, contents:write, ARCHWIZ primary",2026-08-14T15:57:29Z,2026-08-14T15:57:34Z,1,False,Python
https://github.com/Nagi-ovo/voyager/pull/991,test(popup): cover DeepSeek plugin-only mode,2026-09-07T04:36:42Z,2026-09-07T15:07:00Z,19985,False,TypeScript
https://github.com/YuemingHub/World-Space/pull/13,World Space — continuous convergence macro 12,2026-09-07T17:05:14Z,2026-09-07T17:05:28Z,0,False,HTML
https://github.com/Nagi-ovo/voyager/pull/983,fix(plugins): display DeepSeek branding in the plugin manager,2026-09-07T04:35:57Z,2026-09-07T15:06:53Z,19985,False,TypeScript
https://github.com/zhu1090093659/deepseek-pp/pull/306,fix(automation): resolve missing DeepSeek login token in background runner,2026-07-07T04:24:00Z,2026-07-07T05:04:31Z,1811,False,TypeScript
https://github.com/Nagi-ovo/voyager/pull/982,feat(plugins): add adjustable DeepSeek reading width,2026-09-07T04:35:51Z,2026-09-07T15:06:52Z,19985,False,TypeScript
https://github.com/Aendrous/aendrous.github.io/pull/4,Fix GitHub Pages 404 and add DeepSeek chat-to-article pipeline,2026-08-20T19:35:43Z,2026-08-20T20:03:41Z,0,False,Python
https://github.com/axetroy/Browser-LLM-Gateway/pull/2,feat: add DeepSeek provider,2026-07-20T06:54:13Z,2026-07-20T07:14:50Z,0,False,TypeScript
https://github.com/qtgf520/QitongAI-zhuanzhan/pull/4,Fix UTF-8 gateway decoding and real-site adapters,2026-08-08T10:39:16Z,2026-08-08T18:35:00Z,1,False,Kotlin
