PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/starl3xx/wallet-to-social/pull/155,"Footer: Farcaster, llms.txt, and ask-an-AI links",2026-08-23T01:39:41Z,2026-08-23T01:45:20Z,2,False,TypeScript
https://github.com/notnaki/vane/pull/12,Ask an assistant from the address bar and the palette,2026-09-02T12:29:00Z,2026-09-02T12:31:30Z,0,False,Swift
https://github.com/jaiminsolanki799-jpg/jaimin/pull/9,"news-tracker: save-to-read-later star, Saved tab, Ask AI",2026-09-07T10:33:48Z,2026-09-07T10:37:55Z,0,False,CSS
https://github.com/niravshah2705/symphony/pull/116,feat: deep-link ADLC provider icons to a search + add Grok,2026-08-11T12:53:11Z,2026-08-11T12:53:50Z,0,False,JavaScript
https://github.com/Gnadi/myblog/pull/41,"Offer a one-click AI summary of each page, grounded in a new llms.txt",2026-08-20T12:26:41Z,2026-08-20T12:41:44Z,1,False,Astro
https://github.com/alexf351/kiro-landing/pull/157,Homepage: Ask any AI section,2026-08-06T07:06:34Z,2026-08-06T07:06:42Z,0,False,HTML
https://github.com/aigerimzhalgasbekova/perplexity-client/pull/14,fix(thread): wait for the composer instead of looking once,2026-09-01T04:06:56Z,2026-09-01T04:10:26Z,0,False,Python
https://github.com/gentksb/blog/pull/532,fix: OGP取得にリクエストヘッダを付与しエラーログへステータスを残す,2026-09-04T06:57:07Z,2026-09-04T07:07:18Z,1,False,MDX
https://github.com/hausfold/pounce/pull/56,feat(commands): opt-in perplexity plugin — ask from the palette,2026-08-03T16:31:24Z,2026-08-03T16:36:47Z,0,False,Swift
https://github.com/Extra-Chill/extrachill-analytics/pull/91,feat: capture normalized referrer_host on pageview events,2026-06-27T12:46:06Z,2026-06-27T17:13:14Z,0,False,PHP
https://github.com/JyngJ/indi-movie-web/pull/274,feat(seo): 감독·극장 상세 SSR 본문 + llms.txt + FAQ 스키마,2026-08-12T14:06:13Z,2026-08-12T14:11:22Z,0,False,TypeScript
https://github.com/AI-automatization/Rave/pull/103,"feat(web): GA4 measurement-plan events — organic_landing_view, cta_click, waitlist_submit",2026-08-11T07:19:14Z,2026-08-12T08:54:35Z,1,False,TypeScript
https://github.com/seanfillmore/blogpostworkflow/pull/512,"fix(attribution): AI assistants are their own channel, not search",2026-08-18T03:18:47Z,2026-08-18T03:18:54Z,0,False,JavaScript
https://github.com/m4ndolore/mc_site/pull/51,feat(analytics): edge-level AI traffic measurement (AEO feedback loop),2026-06-24T00:02:20Z,2026-06-24T00:43:45Z,0,False,HTML
https://github.com/astandrik/ydb-qdrant-ui/pull/43,feat: add ask ai promo and AI discoverability,2026-05-26T18:45:11Z,2026-05-26T20:12:37Z,1,False,TypeScript
https://github.com/KrishnaSathvik/Ipl-analytics/pull/10,fix: point canonical and og:url to Vercel deployment,2026-04-13T15:30:12Z,2026-04-13T15:30:23Z,0,False,TypeScript
https://github.com/MojionLLC/mojion-website/pull/2,SEO + AI-discoverability fixes — Batch 1,2026-05-14T18:54:48Z,2026-05-14T19:19:51Z,0,False,HTML
https://github.com/rundesk-ai/rundesk-team-marketing/pull/5,feat(seo): equip Beacon for AI-search work with sourced platform rules,2026-08-25T01:20:03Z,2026-08-25T01:56:34Z,2,False,Python
https://github.com/aigovops-foundation/aigovops-ncw-ai-camp/pull/29,Add official install guides + video walkthroughs to every tool page,2026-07-30T00:32:57Z,2026-07-30T00:37:55Z,0,False,JavaScript
https://github.com/WebnatorAutoApps/learn-anything/pull/105,Optimize site SEO for Mochi/Bubble Tea shop in North Madrid,2026-02-08T12:38:40Z,2026-02-08T12:41:28Z,0,False,TypeScript
https://github.com/manul6/search2gpt/pull/1,Reduce to single suggestion and set maximum priority,2025-10-31T07:05:38Z,2025-11-01T05:49:59Z,0,False,Java
https://github.com/lagarcess/argus/pull/396,"feat(research): the research-to-test rail, flag-off dark",2026-08-07T13:28:00Z,2026-08-09T20:49:26Z,1,False,Python
https://github.com/ritchieng/the-incredible-ai-agents/pull/6,Add new GitHub implementations for AI agents and frameworks,2025-07-29T23:22:58Z,2025-07-30T08:42:51Z,20,False,
https://github.com/ShatterPro0f/FANWS/pull/1,Add PyQt5-based automated novel writing GUI with 11-step generation workflow,2025-11-14T05:43:07Z,2025-11-14T06:31:10Z,0,False,Python
https://github.com/ImagingDataCommons/gcp-dicomweb-proxy/pull/1,various improvements to fix functionality and document,2025-05-02T16:02:44Z,2025-05-02T16:13:20Z,2,False,JavaScript
https://github.com/reqnroll/Reqnroll/pull/658,Add BuildMetadata and BuildMetadataProvider classes,2025-07-02T15:30:40Z,2025-07-09T08:32:29Z,786,False,C#
https://github.com/ohmyzsh/ohmyzsh/pull/12815,feat(web-search): add perplexity.ai,2024-11-20T00:03:28Z,2025-01-08T08:34:00Z,189616,False,Shell
https://github.com/InsightSoftwareConsortium/ITK/pull/5311,DOC: Add MetaIO documentation from the ITK Wiki,2025-04-16T15:51:27Z,2025-04-22T13:42:42Z,1654,False,C++
https://github.com/perrin4869/dotfiles/pull/4612,chore(deps): bump home/.oh-my-zsh from `d826691` to `7a3695a`,2025-01-13T00:11:53Z,2025-01-13T00:44:28Z,6,False,Shell
https://github.com/Surgo/dotfiles/pull/620,Bump .config/zsh/ohmyzsh from `d826691` to `5c17bcd` in the zsh-plugins group,2025-01-08T23:22:11Z,2025-01-09T05:08:22Z,5,False,Shell
https://github.com/MehmetMHY/cha/pull/8,Added Answer-Search,2024-03-11T00:14:01Z,2024-03-11T21:39:47Z,64,False,Python
