PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/brandon-fryslie/slopspot-paste/pull/120,Investigate: claude.ai/share file attachment + inline chart recoverability,2026-08-24T08:30:31Z,2026-08-24T08:35:48Z,0,False,TypeScript
https://github.com/davidrunger/david_runger/pull/9442,[groceries] Remove z-index from 'main' element and '.sidebar-shell',2026-09-06T21:04:08Z,2026-09-06T21:07:56Z,1,False,Ruby
https://github.com/curaition/skills/pull/9,"docs(curaition-ops): three install surfaces, the claude.ai upload, shared-file cost",2026-08-25T16:00:06Z,2026-08-25T18:46:18Z,0,False,Python
https://github.com/davidrunger/dotfiles/pull/1448,Rebuild Crystal binaries when utils/crystal/ helpers change,2026-09-04T22:22:38Z,2026-09-04T22:23:15Z,0,False,Shell
https://github.com/ebremer/RFC10008support/pull/2,add Caddy,2026-08-04T20:10:27Z,2026-08-05T14:18:37Z,0,False,Python
https://github.com/Treemarkables/TreeMarkablesClone/pull/507,golf-site: self-host all photos + single-file artifact build,2026-09-06T23:56:02Z,2026-09-06T23:57:58Z,0,False,TypeScript
https://github.com/bounded-systems/bounded.tools/pull/60,claude-relay: forward converted chats through the pathbase door,2026-08-31T16:05:56Z,2026-08-31T16:07:22Z,0,False,TypeScript
https://github.com/toolarcdev/toolarc-web/pull/339,feat: thin source.md and externalize Claude.ai constraints,2026-09-06T06:10:24Z,2026-09-06T06:20:46Z,1,False,TypeScript
https://github.com/bounded-systems/.github/pull/314,chat-fetch: one-command direct access to a shared Claude chat,2026-08-31T16:19:33Z,2026-08-31T16:21:09Z,0,False,JavaScript
https://github.com/acorg/dark-matter/pull/863,Update consensus calling,2026-08-14T22:29:07Z,2026-08-17T10:39:45Z,18,False,Python
https://github.com/fhdsl/bioc2026Intro/pull/6,Updates to Orchestra and installing lessons,2026-08-07T18:09:18Z,2026-08-07T18:35:23Z,2,False,Dockerfile
https://github.com/bounded-systems/bounded.tools/pull/51,"Add the Claude chat-session relay: share link in, toolpath Graph out",2026-08-31T15:09:47Z,2026-08-31T15:16:38Z,0,False,TypeScript
https://github.com/davidrunger/david_runger/pull/9189,[vite] Specify 'server.ws.clientPort' to fix reloading and specs,2026-08-18T05:02:58Z,2026-08-18T05:05:14Z,1,False,Ruby
https://github.com/jb-glitch1/Bar-Crawl/pull/6,Auto-deploy to GitHub Pages on push to main,2026-08-30T20:21:08Z,2026-08-30T20:21:14Z,0,False,JavaScript
https://github.com/davidrunger/david_runger/pull/8919,[qr] Don't use '--clean' flag in 'pg_restore' command,2026-07-12T20:12:55Z,2026-07-12T20:16:10Z,1,False,Ruby
https://github.com/affankhan9332/Memory-Trace-/pull/12,Stage 4: Claude JSON export and shared link parser,2026-07-21T04:12:38Z,2026-07-21T04:17:05Z,0,False,Python
https://github.com/davidrunger/blog/pull/1202,Add update note about Postgres 18.x mount path wrinkle,2026-07-10T04:56:58Z,2026-07-10T05:00:43Z,3,False,JavaScript
https://github.com/hivecommons/hive/pull/5628,[guide] docs: document the Claude Remote Control pin-off (#5607) — CHANGELOG v4.1.0 Security + security-model.md Layer 4,2026-09-02T05:51:45Z,2026-09-02T10:01:32Z,51,False,Go
https://github.com/HoffieKT/DS5111_zuc7ze/pull/7,Lab06a,2026-07-29T00:07:25Z,2026-07-29T05:16:39Z,0,False,Python
https://github.com/openlinker-project/openlinker/pull/2303,chore(web): sync shared/ui to claude.ai/design as a design system,2026-08-21T22:28:21Z,2026-08-22T09:54:56Z,36,False,TypeScript
https://github.com/abrish2049/2508_DS5111_wqp7qy/pull/5,Lab06,2026-07-07T00:07:08Z,2026-07-24T04:47:15Z,1,False,Python
https://github.com/d26clarke/DS5111-011/pull/5,Ds5111 011 lab6a,2026-07-08T03:33:55Z,2026-07-15T01:15:42Z,0,False,Python
https://github.com/brandon-fryslie/slopspot-paste/pull/101,Fetched conversations are bulk-editable as text (slopspot-editor-s3j.4),2026-08-09T21:51:11Z,2026-08-09T22:00:13Z,0,False,TypeScript
https://github.com/davidrunger/dotfiles/pull/1293,[bat] Check arguments are present before using '$1',2026-07-10T05:08:02Z,2026-07-10T05:09:31Z,0,False,Shell
https://github.com/G-AOBptyltd/smiths-lake-website/pull/36,Add Village1st IP & Licence line to the site footer,2026-09-02T01:13:42Z,2026-09-02T01:15:18Z,1,False,HTML
https://github.com/jzhao0/portable-ai-context/pull/69,Add privacy-safe Claude public-share DOM contract probe,2026-08-19T15:17:38Z,2026-08-19T15:24:50Z,0,False,Python
https://github.com/shawn-durrani/crossband/pull/189,view_page: a verification interstitial reads as one clean line,2026-08-18T07:55:19Z,2026-08-18T08:03:45Z,1,False,Python
https://github.com/skizzy1986/erg-dashboard/pull/201,config: sync SplitIQ's shared UI layer to claude.ai/design,2026-08-21T16:13:16Z,2026-08-21T16:35:53Z,0,False,HTML
https://github.com/HankElmhurst/2605_DS5111_zdd3ga/pull/5,Lab6a oop enrich script,2026-07-10T03:30:13Z,2026-07-24T05:04:00Z,0,False,Python
https://github.com/bounded-systems/.github/pull/329,verb-server: read_chat as an MCP tool — the seamless read path,2026-08-31T20:55:12Z,2026-08-31T20:56:54Z,0,False,JavaScript
https://github.com/ispeters/home-manager-config/pull/2,Add declarative iTerm2 configuration,2026-07-13T22:57:41Z,2026-07-13T22:59:35Z,0,False,Nix
https://github.com/davidrunger/david_runger/pull/8885,[docker-compose/postgres] Bump Postgres from 18.1 to 18.4 [DEV-254],2026-06-28T22:26:49Z,2026-06-28T22:33:32Z,1,False,Ruby
https://github.com/davidrunger/dotfiles/pull/1282,[brup] Update dotfiles repo and dependencies (with 'main'),2026-06-28T14:28:06Z,2026-06-28T14:29:33Z,0,False,Shell
https://github.com/brandon-fryslie/slopspot-paste/pull/61,Agentic-handoff for claude.ai/code share links (slopspot-cc-share-4nc),2026-06-30T10:49:44Z,2026-06-30T11:52:27Z,0,False,TypeScript
https://github.com/brandon-fryslie/slopspot-paste/pull/22,Promote claude.ai/share tool indicators to tool-call Turns (slopspot-claude-share-4pf),2026-06-09T20:38:12Z,2026-06-09T20:43:26Z,0,False,TypeScript
